2010 to 2022 Gross Domestic Product: All Industry Total by State (Millions of Dollars)
Series ID,Region Name,Region Code,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01
"ALNQGSP","Alabama","01","177249.15","183916.625","189245.525","194786.925","197406.85","202372.4","207368.375","214606.3","223859.325","231561.9","230892.05","254109.75","277817.475"
"AKNQGSP","Alaska","02","53331.6","56896.375","58283.65","57247.7","56484.95","51490.9","50727.65","53301.5","54899.6","54728.25","50475.2","57349.4","63617.975"
"AZNQGSP","Arizona","04","251153.05","260915.725","271440.025","278591.625","287666.65","299393.25","313081.375","332001.775","351879.5","372393.5","382072.275","420026.675","458949.775"
"ARNQGSP","Arkansas","05","101486.525","105768.1","108492.1","113227.325","116139.45","117786.775","119152.4","122466.725","127535.675","131578.25","133969.1","148676.1","165220.65"
"CANQGSP","California","06","1954092.7","2023500.05","2113096.45","2220389.875","2335286.5","2473555.875","2569634.025","2728743.075","2897200.65","3042694.075","3020173.35","3373240.675","3598102.75"
"CONQGSP","Colorado","08","258300.25","267516.05","276823.125","292140.475","309542.575","320721.05","329911.75","349156.55","372212.05","394534.725","391263.275","436359.45","484371.525"
"CTNQGSP","Connecticut","09","234700","233158.75","240911.95","241517.475","246596.975","259487.775","263670.3","271443.225","279922.975","288536.325","276223.25","298395.2","321844.65"
"DENQGSP","Delaware","10","58163.525","61372.225","62354.625","61716.175","68354.7","71913.925","69354.975","68302.55","72168.325","76923.7","75818.6","81160","87524.8"
"DCNQGSP","District of Columbia","11","106146.875","109730.375","112156.975","114540.125","119414.625","124604.675","129648.575","133243.475","139722.5","143990.8","144720.025","153670.5","162314.375"
"FLNQGSP","Florida","12","746928.9","755240","778545.05","811751.675","851692.375","908519.9","953352.55","1003144","1057255.4","1111392.225","1116726.75","1255558.325","1389069.725"
"GANQGSP","Georgia","13","418091.275","431653.9","447764.675","464752.85","490079.25","521008.175","547546.675","573777.15","602366.375","637992.475","625425.7","691626.925","755697.9"
"HINQGSP","Hawaii","15","66872.975","69083.875","71905.275","74554.95","76773.3","81230.3","83914.35","87217.425","90330.8","91912.7","82535.5","91096.125","98218.775"
"IDNQGSP","Idaho","16","55587.55","56941.1","58323.95","61835.775","64575.2","65899.925","68837.45","71730.35","77395.425","82847.225","85927.775","96282.775","109546.5"
"ILNQGSP","Illinois","17","666404.85","692880.8","726399.1","741121.475","771356.1","799930.475","807043.225","824913.375","865661.05","889540.1","856942.875","945673.825","1033310.1"
"INNQGSP","Indiana","18","282562.15","291356.1","300513.9","312138.45","327958.3","331945.65","340500.7","352601.025","373196.825","381132.275","373781.575","412975.175","455750.225"
"IANQGSP","Iowa","19","142233.925","148477.625","158538.375","162200.275","173095.9","180299.275","181011.375","184561.275","191516.575","195708.7","196982.875","216860.25","231107.825"
"KSNQGSP","Kansas","20","128591.35","136358.875","141818.2","144483.2","150183.6","154958.2","160451.05","165182.5","172342.95","176564.375","177580.875","191380.575","210670.475"
"KYNQGSP","Kentucky","21","166408.675","171586.9","178143.7","184524.35","187983.8","193413.05","196484.95","201872.225","208558.6","218494.75","216865.6","237182.025","260304.125"
"LANQGSP","Louisiana","22","225308.925","229944.975","235384.7","230832.475","240737.275","235113.525","227090.675","241213.425","256677.825","255481.925","232527.75","258571.3","281429.3"
"MENQGSP","Maine","23","52256.2","52575.475","53679.7","54470.1","56410.8","58131.325","60254.4","62253.6","65477.125","68690.45","70740.025","77963.3","84497.5"
"MDNQGSP","Maryland","24","314728.3","326281.225","332523.5","340577.6","352761.375","369728.05","387733.4","400156.975","410812.175","420371.3","410931.025","443929.95","470187.1"
"MANQGSP","Massachusetts","25","411136.1","425522.975","442916.925","454321.2","470468.55","498851.325","514637.575","531007.975","563054.3","589904.3","585150.325","641332.15","688391.575"
"MINQGSP","Michigan","26","390042.975","404554.7","422691.2","437274.425","451773.2","474983.325","490264","502130.4","520245.1","532217","520105.275","572205.85","620695.55"
"MNNQGSP","Minnesota","27","274231.325","287039.35","298328.3","311126.4","324751.375","335530.15","344060.8","353664.95","372011.275","383956.55","376814.375","412458.6","446499.525"
"MSNQGSP","Mississippi","28","93943.125","96218.025","100448.45","102371.025","104300.25","105914.6","107291.375","109600.775","112201.675","114234.375","115123.45","127307.65","138739.725"
"MONQGSP","Missouri","29","259816.125","262067.075","271535.15","280571.025","287507.425","296929.325","300914.5","308002.325","318153.55","332485.85","330249.925","358571.95","389931.2"
"MTNQGSP","Montana","30","38336.05","40995.075","42340.85","43687.9","45177.2","46604.05","45490.9","48533.9","50916.925","51925.45","52355.85","58699.85","65014.55"
"NENQGSP","Nebraska","31","91561.525","99921.1","102725.95","107260.725","111945.925","116514.6","118145.925","121726.575","127015.45","131866.9","134580.8","146285.4","161702.025"
"NVNQGSP","Nevada","32","124669.425","127677.875","129312.925","132086.425","136008.65","145115.95","151840.375","160653.075","170257.625","182186.325","172562.625","194486.65","215917.75"
"NHNQGSP","New Hampshire","33","64843.575","66153.15","68498.075","70476.2","72995.225","76477.975","79090.125","80598","83869.825","87338.175","88337.65","99673.275","105414.35"
"NJNQGSP","New Jersey","34","492762.4","495965.825","517195.825","534177.8","542842.8","563233.825","575500.975","587421","614106.55","637630.45","620085.9","682945.925","745422.2"
"NMNQGSP","New Mexico","35","84611.55","87062.825","87925.225","88756.85","92185.7","90274.325","89769.425","92273.575","97268.025","102027.5","98789.975","109582.8","122114.85"
"NYNQGSP","New York","36","1223529.675","1247605.775","1328233.5","1365529","1430923.35","1487627.675","1551354.1","1604649.9","1697661.4","1787666.025","1740804.65","1901296.525","2053179.75"
"NCNQGSP","North Carolina","37","420027.575","431722.725","445095.325","462268.925","483191.3","508928.725","526029.775","548522.15","567836.175","594521.025","598915.925","662120.775","730072.375"
"NDNQGSP","North Dakota","38","35676.15","41587.65","51832.55","54270.975","59926.275","55996.9","51989.2","55394.7","59248.675","59199.25","54422.925","63559.6","73267.075"
"OHNQGSP","Ohio","39","500515.35","528189.95","545740.15","566532.4","595640.9","611019.475","623265.325","645636.825","667115.575","697166.85","684382.5","756617.225","822669.725"
"OKNQGSP","Oklahoma","40","154287.45","166235.825","174874.425","182694.725","196631.625","186815.6","181244.4","190553","202712.5","204192.55","190063.675","215336.25","240534.3"
"ORNQGSP","Oregon","41","164137.175","170630.9","174610.95","179527.675","188120.65","200659.575","211305.85","222601.575","237113.675","247233.075","247966.675","272190.875","299125.5"
"PANQGSP","Pennsylvania","42","604736.8","624819.725","647925.85","668569.05","694142.6","714202.85","726561.95","746440.95","773977.4","799888.85","771613.225","844496.475","923088.8"
"RINQGSP","Rhode Island","44","49468.35","50206.1","51583.025","53034.075","54559.675","56390.8","57353.475","58084.975","59290.8","61642.825","60770.625","66570.85","71402.2"
"SCNQGSP","South Carolina","45","165860","172075.1","177618.175","185009.05","194352.675","205816.675","215120.225","223266.675","233251.425","245987.175","245359.5","269802.45","295880.475"
"SDNQGSP","South Dakota","46","37852.475","41892.075","43901.5","45361.05","46785.375","48070.175","49151.45","50232.5","52299.325","54001.3","55681.225","61684.7","67570.675"
"TNNQGSP","Tennessee","47","257775.95","269814.25","286341.45","295862.75","306153.15","325294.05","336413.925","350838.675","363055.475","380128.5","379007.125","427125.45","475755.05"
"TXNQGSP","Texas","48","1245959.425","1341334.375","1421180.125","1515195.575","1579299.475","1573498.375","1579014.875","1673234.3","1809396.725","1858757.75","1789933.35","2051768.55","2355959.7"
"UTNQGSP","Utah","49","118669.8","125564.975","129512.5","135450.375","142150.125","149153.375","157827.325","168649.9","184457.475","196538.85","202133.4","225340.275","248176.35"
"VTNQGSP","Vermont","50","27406.6","28418.65","29241.25","29289.55","30099.375","30933.25","31661.175","32266.125","33066.825","34230.8","34018.6","37103.8","40617.05"
"VANQGSP","Virginia","51","426992.4","435180.275","445973.625","457640.475","465181.8","483786.475","496021.1","511114.95","532906.5","557764.375","556992.625","604957.525","649392.575"
"WANQGSP","Washington","53","365497.75","379574.825","400530.575","419092.375","440647.975","466689.725","487275.125","519409.55","564313.9","595231.8","612969.125","677489.45","725513.525"
"WVNQGSP","West Virginia","54","65998.65","69234.075","70322.2","71481.5","72648.2","71318.55","70924.425","74820.125","79192.9","79325.6","76547.925","85434.225","95588.4"
"WINQGSP","Wisconsin","55","256432.9","266364.35","277107.1","284270.85","295696","307507.925","314073.25","318310.375","332498.6","345236.425","340591.075","368611.25","401791.525"
"WYNQGSP","Wyoming","56","37680.725","39751.375","38855.4","39289.775","40310.6","38426.9","35878.95","36980.675","39171.625","39428.05","36330.375","41510.2","47432.5"
