Year,Series ID,State,Region Code,GDP_0101,Deaths,Population,Crude Rate,Prescriptions Dispensed by US Retailers in that year (millions)
2010,ALNQGSP,Alabama,01,177249.15,194.0,4779736.0,4.1,210.0
2011,ALNQGSP,Alabama,01,183916.625,180.0,4802740.0,3.7,219.0
2012,ALNQGSP,Alabama,01,189245.525,175.0,4822023.0,3.6,217.0
2013,ALNQGSP,Alabama,01,194786.925,175.0,4833722.0,3.6,207.0
2014,ALNQGSP,Alabama,01,197406.85,282.0,4849377.0,5.8,196.0
2010,AKNQGSP,Alaska,02,53331.6,71.0,710231.0,10.0,210.0
2011,AKNQGSP,Alaska,02,56896.375,72.0,722718.0,10.0,219.0
2012,AKNQGSP,Alaska,02,58283.65,81.0,731449.0,11.1,217.0
2013,AKNQGSP,Alaska,02,57247.7,69.0,735132.0,9.4,207.0
2014,AKNQGSP,Alaska,02,56484.95,79.0,736732.0,10.7,196.0
2010,AZNQGSP,Arizona,04,251153.05,650.0,6392017.0,10.2,210.0
2011,AZNQGSP,Arizona,04,260915.725,596.0,6482505.0,9.2,219.0
2012,AZNQGSP,Arizona,04,271440.025,565.0,6553255.0,8.6,217.0
2013,AZNQGSP,Arizona,04,278591.625,545.0,6626624.0,8.2,207.0
2014,AZNQGSP,Arizona,04,287666.65,616.0,6731484.0,9.2,196.0
2010,ARNQGSP,Arkansas,05,101486.525,198.0,2915918.0,6.8,210.0
2011,ARNQGSP,Arkansas,05,105768.1,176.0,2937979.0,6.0,219.0
2012,ARNQGSP,Arkansas,05,108492.1,181.0,2949131.0,6.1,217.0
2013,ARNQGSP,Arkansas,05,113227.325,175.0,2959373.0,5.9,207.0
2014,ARNQGSP,Arkansas,05,116139.45,179.0,2966369.0,6.0,196.0
2010,CANQGSP,California,06,1954092.7,2059.0,37253956.0,5.5,210.0
2011,CANQGSP,California,06,2023500.05,2057.0,37691912.0,5.5,219.0
2012,CANQGSP,California,06,2113096.45,1847.0,38041430.0,4.9,217.0
2013,CANQGSP,California,06,2220389.875,2088.0,38332521.0,5.4,207.0
2014,CANQGSP,California,06,2335286.5,2159.0,38802500.0,5.6,196.0
2010,CONQGSP,Colorado,08,258300.25,325.0,5029196.0,6.5,210.0
2011,CONQGSP,Colorado,08,267516.05,423.0,5116796.0,8.3,219.0
2012,CONQGSP,Colorado,08,276823.125,415.0,5187582.0,8.0,217.0
2013,CONQGSP,Colorado,08,292140.475,443.0,5268367.0,8.4,207.0
2014,CONQGSP,Colorado,08,309542.575,532.0,5355866.0,9.9,196.0
2010,CTNQGSP,Connecticut,09,234700.0,225.0,3574097.0,6.3,210.0
2011,CTNQGSP,Connecticut,09,233158.75,213.0,3580709.0,5.9,219.0
2012,CTNQGSP,Connecticut,09,240911.95,202.0,3590347.0,5.6,217.0
2013,CTNQGSP,Connecticut,09,241517.475,442.0,3596080.0,12.3,207.0
2014,CTNQGSP,Connecticut,09,246596.975,531.0,3596677.0,14.8,196.0
2010,DENQGSP,Delaware,10,58163.525,116.0,897934.0,12.9,210.0
2011,DENQGSP,Delaware,10,61372.225,115.0,907135.0,12.7,219.0
2012,DENQGSP,Delaware,10,62354.625,86.0,917092.0,9.4,217.0
2013,DENQGSP,Delaware,10,61716.175,115.0,925749.0,12.4,207.0
2014,DENQGSP,Delaware,10,68354.7,125.0,935614.0,13.4,196.0
2010,DCNQGSP,District of Columbia,11,106146.875,36.0,601723.0,6.0,210.0
2011,DCNQGSP,District of Columbia,11,109730.375,57.0,617996.0,9.2,219.0
2012,DCNQGSP,District of Columbia,11,112156.975,45.0,632323.0,7.1,217.0
2013,DCNQGSP,District of Columbia,11,114540.125,60.0,646449.0,9.3,207.0
2014,DCNQGSP,District of Columbia,11,119414.625,65.0,658893.0,9.9,196.0
2010,FLNQGSP,Florida,12,746928.9,1739.0,18801310.0,9.2,210.0
2011,FLNQGSP,Florida,12,755240.0,1637.0,19057542.0,8.6,219.0
2012,FLNQGSP,Florida,12,778545.05,1383.0,19317568.0,7.2,217.0
2013,FLNQGSP,Florida,12,811751.675,1327.0,19552860.0,6.8,207.0
2014,FLNQGSP,Florida,12,851692.375,1446.0,19893297.0,7.3,196.0
2010,GANQGSP,Georgia,13,418091.275,550.0,9687653.0,5.7,210.0
2011,GANQGSP,Georgia,13,431653.9,549.0,9815210.0,5.6,219.0
2012,GANQGSP,Georgia,13,447764.675,551.0,9919945.0,5.6,217.0
2013,GANQGSP,Georgia,13,464752.85,539.0,9992167.0,5.4,207.0
2014,GANQGSP,Georgia,13,490079.25,724.0,10097343.0,7.2,196.0
2010,HINQGSP,Hawaii,15,66872.975,77.0,1360301.0,5.7,210.0
2011,HINQGSP,Hawaii,15,69083.875,78.0,1374810.0,5.7,219.0
2012,HINQGSP,Hawaii,15,71905.275,64.0,1392313.0,4.6,217.0
2013,HINQGSP,Hawaii,15,74554.95,70.0,1404054.0,5.0,207.0
2014,HINQGSP,Hawaii,15,76773.3,62.0,1419561.0,4.4,196.0
2010,IDNQGSP,Idaho,16,55587.55,81.0,1567582.0,5.2,210.0
2011,IDNQGSP,Idaho,16,56941.1,80.0,1584985.0,5.0,219.0
2012,IDNQGSP,Idaho,16,58323.95,61.0,1595728.0,3.8,217.0
2013,IDNQGSP,Idaho,16,61835.775,81.0,1612136.0,5.0,207.0
2014,IDNQGSP,Idaho,16,64575.2,80.0,1634464.0,4.9,196.0
2010,ILNQGSP,Illinois,17,666404.85,921.0,12830632.0,7.2,210.0
2011,ILNQGSP,Illinois,17,692880.8,955.0,12869257.0,7.4,219.0
2012,ILNQGSP,Illinois,17,726399.1,1204.0,12875255.0,9.4,217.0
2013,ILNQGSP,Illinois,17,741121.475,1139.0,12882135.0,8.8,207.0
2014,ILNQGSP,Illinois,17,771356.1,1263.0,12880580.0,9.8,196.0
2010,INNQGSP,Indiana,18,282562.15,300.0,6483802.0,4.6,210.0
2011,INNQGSP,Indiana,18,291356.1,375.0,6516922.0,5.8,219.0
2012,INNQGSP,Indiana,18,300513.9,397.0,6537334.0,6.1,217.0
2013,INNQGSP,Indiana,18,312138.45,387.0,6570902.0,5.9,207.0
2014,INNQGSP,Indiana,18,327958.3,489.0,6596855.0,7.4,196.0
2010,IANQGSP,Iowa,19,142233.925,163.0,3046355.0,5.4,210.0
